,last_name,first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
822,Acuña Jr., Ronald,660670,ATL,CH,Changeup,-0.1,0,133,9.5,34,0.2,0.333,0.309,31.0,17.6,16.7,0.331,0.48,0.393,62.5
823,Pillar, Kevin,607680,ATL,FF,4-Seamer,1.7,2,112,28.6,34,0.242,0.606,0.387,17.7,23.5,27.6,0.239,0.534,0.337,52.0
824,Raley, Luke,670042,TB,SL,Slider,-1.4,-1,94,12.2,34,0.2,0.467,0.326,48.2,38.2,35.1,0.226,0.525,0.36,52.9
825,Rendon, Anthony,543685,LAA,SIFT,Sinker,-1.1,-1,115,16.9,34,0.222,0.259,0.293,7.7,0.0,0.0,0.273,0.347,0.359,46.4
826,Donovan, Brendan,680977,STL,SIFT,Sinker,2.0,3,131,11.9,34,0.393,0.607,0.506,14.6,8.8,13.0,0.33,0.542,0.431,44.0
827,Moniak, Mickey,666160,LAA,FF,4-Seamer,1.9,3,151,41.7,34,0.303,0.758,0.472,33.3,29.4,22.2,0.267,0.691,0.408,47.8
828,Rivera, Emmanuel,656896,AZ,SIFT,Sinker,2.0,2,119,20.5,34,0.424,0.485,0.391,8.2,2.9,4.0,0.445,0.611,0.453,75.8
829,Urshela, Gio,570482,LAA,SIFT,Sinker,-4.1,-5,132,15.0,34,0.167,0.2,0.204,14.8,8.8,14.3,0.23,0.284,0.263,32.1
830,Walker, Christian,572233,AZ,CH,Changeup,1.1,1,120,9.2,34,0.273,0.485,0.332,29.7,11.8,7.8,0.291,0.461,0.332,37.9
831,Senzel, Nick,669222,CIN,SL,Slider,1.0,1,126,16.7,34,0.148,0.37,0.326,34.5,26.5,27.3,0.15,0.264,0.245,25.0
832,Thomas, Lane,657041,WSH,CH,Changeup,3.0,3,102,7.6,34,0.313,0.531,0.379,25.5,26.5,21.4,0.253,0.355,0.29,34.8
833,Kiermaier, Kevin,595281,TOR,CH,Changeup,-1.2,-1,118,15.2,34,0.265,0.324,0.259,26.8,8.8,13.6,0.268,0.327,0.263,19.4
834,Anderson, Brian,605119,MIL,CH,Changeup,-0.8,-1,132,11.0,34,0.161,0.258,0.225,36.5,35.3,21.8,0.176,0.338,0.26,21.1
835,Nootbaar, Lars,663457,STL,SL,Slider,0.4,1,148,17.5,34,0.148,0.148,0.25,31.7,32.4,20.4,0.197,0.223,0.292,18.8
836,Bell, Josh,605137,CLE,SL,Slider,-2.7,-4,149,13.1,34,0.143,0.429,0.315,28.4,32.4,20.4,0.145,0.252,0.263,52.9
837,Farmer, Kyle,571657,MIN,SL,Slider,-0.3,0,124,19.1,34,0.242,0.333,0.291,33.8,35.3,27.9,0.207,0.304,0.236,33.3
838,Villar, David,681584,SF,FF,4-Seamer,4.3,5,121,25.0,34,0.355,0.774,0.491,26.4,26.5,26.5,0.353,0.806,0.505,54.5
839,Tovar, Ezequiel,678662,COL,CH,Changeup,-0.8,-1,100,9.3,34,0.281,0.438,0.312,35.6,14.7,12.5,0.264,0.395,0.288,28.6
840,Gurriel Jr., Lourdes,666971,AZ,CH,Changeup,0.0,0,89,8.2,34,0.25,0.313,0.3,23.5,14.7,15.2,0.264,0.352,0.294,33.3
841,Gorman, Nolan,669357,STL,CH,Changeup,0.7,1,151,14.0,34,0.212,0.364,0.267,36.1,35.3,24.5,0.279,0.451,0.324,28.6
